order_id,product_id,add_to_cart_order,reordered,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_name,aisle_id,department_id
375671,47900,7,1,54931,prior,8,0,16,7.0,"Uncured, No Sugar, Hickory Smoked Bacon",106,12
3207326,43295,5,1,80981,prior,8,0,8,6.0,Unsweetened Vanilla Almond Milk,91,16
2216142,33756,9,0,105820,train,22,2,17,30.0,Crispy Chicken Strips 100% All Natural Fully Cooked,129,1
892466,5097,18,1,152211,prior,6,2,11,8.0,Mexican Style Taco Shredded Cheese,21,16
1687270,19348,6,1,154312,prior,3,2,18,5.0,Fat Free Milk,84,16
1019103,15290,8,0,111859,prior,6,4,15,22.0,Orange Bell Pepper,83,4
2605832,46650,4,1,165029,prior,7,6,19,28.0,Special Reserve Extra Sharp Cheddar Cheese,21,16
2428672,11182,1,1,100198,prior,32,2,9,2.0,Baby Spinach,123,4
856501,3896,1,1,120048,prior,2,0,17,11.0,Organic Honey Sweet Whole Wheat Bread,112,3
742523,35140,5,1,194503,prior,13,2,14,3.0,Organic Whole Cashews,117,19
492117,16168,4,1,51815,prior,25,2,15,7.0,Large Organic Omega3 Brown Eggs,86,16
242537,38400,15,1,154014,prior,3,4,14,5.0,Asparation/Broccolini/Baby Broccoli,83,4
2023248,5212,20,1,146770,prior,26,0,8,7.0,Watermelon Chunks,123,4
572752,32271,10,1,31549,prior,5,0,16,7.0,Original Applesauce,99,15
3012461,21083,18,0,166361,prior,4,1,11,30.0,Corn Puffs with Aged White Cheddar (Lunch Packs),23,19
603973,33722,19,0,184142,prior,5,5,19,5.0,Chicken and Vegetable Egg Rolls,129,1
1017581,45007,14,1,179810,prior,34,0,9,6.0,Organic Zucchini,83,4
962383,36011,8,1,147872,prior,3,5,11,13.0,Organic Fat Free Milk,84,16
3323616,35842,6,1,39141,prior,6,4,12,6.0,Organic Lemon Cayenne Sparkling Probiotic Drink,31,7
2078276,48186,2,1,191224,prior,9,6,8,4.0,Lactose Free Half & Half,53,16
972977,38250,7,0,123291,prior,9,1,11,5.0,Cheddar Squares Cheddar Squares,78,19
1102366,1729,2,1,180719,prior,77,2,17,2.0,2% Lactose Free Milk,84,16
1716918,2087,4,1,166859,prior,2,1,9,7.0,"Crunchy Kale, Naked",107,19
946592,27104,5,1,10656,prior,8,4,17,6.0,Fresh Cauliflower,83,4
2805732,44533,12,1,74027,prior,17,5,16,13.0,"French Baguettes, Take & Bake, Twin Pack",112,3
1151958,29307,15,1,176322,prior,16,0,10,12.0,Baby Arugula,123,4
1959304,24852,2,1,62292,prior,8,2,18,28.0,Banana,24,4
814931,38274,15,1,86774,prior,68,2,10,9.0,Ice Cream Sandwiches Vanilla,37,1
3151589,24670,23,1,51596,prior,25,0,16,12.0,Organic Love Crunch Granola Apple Crumble,57,14
1630978,36070,8,1,67821,prior,17,1,11,4.0,"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",123,4
3002065,25931,5,1,4724,prior,49,4,13,8.0,Organic Baby Spinach Salad,123,4
